WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
24-January-1998,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535,0.7197,36.0185
16-January-1999,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535,0.7197,36.0185
25-September-1999,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535,0.7197,36.0185
07-August-2004,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,,Political violence,1535,0.7197,36.0185
02-April-2005,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535,0.7197,36.0185
21-July-2007,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535,0.7197,36.0185
13-October-2007,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,,Political violence,1535,0.7197,36.0185
17-November-2007,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,0,,Political violence,1535,0.7197,36.0185
22-December-2007,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,9,,Political violence,1535,0.7197,36.0185
15-March-2008,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,17,,Political violence,1535,0.7197,36.0185
31-December-2011,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535,0.7197,36.0185
11-February-2012,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,,Political violence,1535,0.7197,36.0185
05-January-2013,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,10,,Political violence,1535,0.7197,36.0185
02-February-2013,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,4,,Political violence,1535,0.7197,36.0185
01-March-2014,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,,Political violence,1535,0.7197,36.0185
08-March-2014,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,3,,Political violence,1535,0.7197,36.0185
