WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
1997-01-11,Eastern Africa,Kenya,Turkana,Violence against civilians,Attack,1,3,,Political violence,1577,2.9769,35.3593
1997-01-18,Eastern Africa,Kenya,Nakuru,Violence against civilians,Attack,1,1,,Political violence,1565,-0.4613,36.0987
1997-01-18,Eastern Africa,Kenya,Mombasa,Violence against civilians,Attack,1,2,,Political violence,1562,-3.9968,39.6013
1997-01-25,Eastern Africa,Kenya,Nakuru,Protests,Peaceful protest,1,0,,Demonstrations,1565,-0.4613,36.0987
1997-02-08,Eastern Africa,Kenya,Nyeri,Violence against civilians,Attack,1,0,,Political violence,1570,-0.3154,36.9285
1997-02-15,Eastern Africa,Kenya,Turkana,Violence against civilians,Attack,1,8,,Political violence,1577,2.9769,35.3593
1997-02-22,Eastern Africa,Kenya,Nakuru,Riots,Violent demonstration,1,0,,Demonstrations,1565,-0.4613,36.0987
1997-02-22,Eastern Africa,Kenya,Nairobi,Riots,Violent demonstration,2,0,,Demonstrations,1564,-1.3019,36.827
1997-02-22,Eastern Africa,Kenya,Kiambu,Explosions/Remote violence,Remote explosive/landmine/IED,1,1,,Political violence,1547,-1.0377,36.8469
1997-02-22,Eastern Africa,Kenya,Nairobi,Protests,Protest with intervention,1,0,,Demonstrations,1564,-1.3019,36.827
1997-02-22,Eastern Africa,Kenya,Nairobi,Protests,Peaceful protest,1,0,,Demonstrations,1564,-1.3019,36.827
1997-03-22,Eastern Africa,Kenya,Mandera,Violence against civilians,Attack,2,67,,Political violence,1558,3.2201,40.7112
1997-03-22,Eastern Africa,Kenya,Marsabit,Violence against civilians,Attack,1,80,,Political violence,1559,2.8854,37.7064
1997-03-22,Eastern Africa,Kenya,Mandera,Battles,Armed clash,2,16,,Political violence,1558,3.2201,40.7112
1997-03-22,Eastern Africa,Kenya,Marsabit,Battles,Armed clash,1,16,,Political violence,1559,2.8854,37.7064
1997-04-05,Eastern Africa,Kenya,Marsabit,Battles,Armed clash,1,6,,Political violence,1559,2.8854,37.7064
1997-04-12,Eastern Africa,Kenya,Kitui,Protests,Protest with intervention,1,0,,Demonstrations,1552,-1.5601,38.371
1997-04-12,Eastern Africa,Kenya,Uasin Gishu,Violence against civilians,Attack,1,0,,Political violence,1578,0.4879,35.306
1997-04-12,Eastern Africa,Kenya,Kakamega,Violence against civilians,Attack,1,0,,Political violence,1545,0.4979,34.8006
1997-04-12,Eastern Africa,Kenya,Nairobi,Protests,Peaceful protest,1,0,,Demonstrations,1564,-1.3019,36.827
1997-04-19,Eastern Africa,Kenya,Nairobi,Violence against civilians,Attack,1,1,,Political violence,1564,-1.3019,36.827
1997-04-26,Eastern Africa,Kenya,Elgeyo Marakwet,Battles,Armed clash,2,7,,Political violence,1539,0.7429,35.5592
1997-05-03,Eastern Africa,Kenya,Nairobi,Riots,Violent demonstration,1,1,,Demonstrations,1564,-1.3019,36.827
1997-05-10,Eastern Africa,Kenya,Turkana,Battles,Armed clash,2,15,,Political violence,1577,2.9769,35.3593
1997-05-31,Eastern Africa,Kenya,Nairobi,Riots,Violent demonstration,2,0,,Demonstrations,1564,-1.3019,36.827
1997-06-07,Eastern Africa,Kenya,Isiolo,Battles,Armed clash,1,1,,Political violence,1543,1.0427,38.7379
1997-06-14,Eastern Africa,Kenya,Nairobi,Riots,Violent demonstration,2,0,,Demonstrations,1564,-1.3019,36.827
1997-06-14,Eastern Africa,Kenya,Nairobi,Violence against civilians,Attack,1,0,,Political violence,1564,-1.3019,36.827
1997-06-14,Eastern Africa,Kenya,Nairobi,Riots,Mob violence,1,0,,Political violence,1564,-1.3019,36.827
1997-06-28,Eastern Africa,Kenya,Nairobi,Protests,Peaceful protest,1,0,,Demonstrations,1564,-1.3019,36.827
1997-06-28,Eastern Africa,Kenya,Nairobi,Riots,Violent demonstration,1,0,,Demonstrations,1564,-1.3019,36.827
1997-07-05,Eastern Africa,Kenya,Laikipia,Violence against civilians,Attack,1,7,,Political violence,1554,0.2877,36.7941
1997-07-05,Eastern Africa,Kenya,Laikipia,Riots,Violent demonstration,1,0,,Demonstrations,1554,0.2877,36.7941
1997-07-05,Eastern Africa,Kenya,Nairobi,Protests,Excessive force against protesters,2,11,,Political violence; Demonstrations,1564,-1.3019,36.827
1997-07-05,Eastern Africa,Kenya,Nakuru,Protests,Peaceful protest,1,0,,Demonstrations,1565,-0.4613,36.0987
1997-07-05,Eastern Africa,Kenya,Kiambu,Protests,Excessive force against protesters,1,1,,Political violence; Demonstrations,1547,-1.0377,36.8469
1997-07-05,Eastern Africa,Kenya,Nairobi,Riots,Violent demonstration,3,15,,Demonstrations,1564,-1.3019,36.827
1997-07-12,Eastern Africa,Kenya,Nairobi,Riots,Violent demonstration,3,0,,Demonstrations,1564,-1.3019,36.827
1997-07-19,Eastern Africa,Kenya,Nairobi,Battles,Armed clash,1,0,,Political violence,1564,-1.3019,36.827
1997-07-19,Eastern Africa,Kenya,Isiolo,Violence against civilians,Attack,1,3,,Political violence,1543,1.0427,38.7379
1997-08-02,Eastern Africa,Kenya,Nairobi,Violence against civilians,Attack,1,1,,Political violence,1564,-1.3019,36.827
1997-08-02,Eastern Africa,Kenya,Nairobi,Battles,Armed clash,1,1,,Political violence,1564,-1.3019,36.827
1997-08-02,Eastern Africa,Kenya,Kiambu,Battles,Armed clash,1,2,,Political violence,1547,-1.0377,36.8469
1997-08-09,Eastern Africa,Kenya,Kilifi,Battles,Armed clash,1,1,,Political violence,1548,-3.1482,39.6705
1997-08-09,Eastern Africa,Kenya,Mombasa,Battles,Armed clash,3,6,,Political violence,1562,-3.9968,39.6013
1997-08-09,Eastern Africa,Kenya,Nakuru,Riots,Violent demonstration,1,0,,Demonstrations,1565,-0.4613,36.0987
1997-08-16,Eastern Africa,Kenya,Kwale,Battles,Armed clash,1,0,,Political violence,1553,-4.1198,39.0631
