Stage,Model Type,Model,Primary Metric,Accuracy,Precision,Recall,F1,Macro Precision,Macro Recall,Macro F1,MAE,RMSE,RAE,R2
Stage 1: Fatal vs Non-Fatal,Classification,Logistic Regression Tuned,F1,0.7949790794979079,0.4993335110637163,0.9580562659846548,0.6565019277953031,,,,,,,
Stage 1: Fatal vs Non-Fatal,Classification,Logistic Regression,F1,0.7946652719665271,0.4989339019189765,0.957544757033248,0.6560364464692483,,,,0.2053347280334728,0.4531387514144788,0.6311058648654557,-0.262211729730911
Stage 1: Fatal vs Non-Fatal,Classification,Random Forest,F1,0.80836820083682,0.5190225796473863,0.858312020460358,0.6468774094063223,,,,0.1916317991631799,0.4377576945790672,0.5889892737817192,-0.17797854756343812
Stage 1: Fatal vs Non-Fatal,Classification,Random Forest Tuned,F1,0.8036610878661088,0.5118181818181818,0.8639386189258312,0.6428163653663178,,,,,,,
Stage 1: Fatal vs Non-Fatal,Classification,XGBoost Tuned,F1,0.8341004184100418,0.5817456801063359,0.6716112531969309,0.6234567901234568,,,,,,,
Stage 1: Fatal vs Non-Fatal,Classification,Gradient Boosting,F1,0.8351464435146444,0.5853988283010365,0.6644501278772379,0.6224245328222329,,,,0.16485355648535566,0.4060216207117001,0.5066850957860205,-0.013370191572040557
Stage 1: Fatal vs Non-Fatal,Classification,Gradient Boosting Tuned,F1,0.8336820083682008,0.5821701936064836,0.661381074168798,0.6192528735632183,,,,,,,
Stage 1: Fatal vs Non-Fatal,Classification,XGBoost,F1,0.8315899581589958,0.5762262483429077,0.6670076726342711,0.6183025130393551,,,,0.1684100418410042,0.41037792562588477,0.5176161194260742,-0.03523223885214799
Stage 1: Fatal vs Non-Fatal,Classification,Dummy Baseline,F1,0.7955020920502092,0.0,0.0,0.0,,,,0.2044979079497908,0.4522144490723298,0.6285338593030901,-0.25706771860617983
Stage 1: Fatal vs Non-Fatal,Classification,TabNet (Transformer),F1,0.7536610878661087,0.4493157627977699,0.9069053708439898,0.6009150991357397,,,,,,,
Stage 2: Severity,Classification,Random Forest Tuned,Macro F1,0.7289002557544757,,,,0.4175286959794267,0.42605233642927653,0.4208946866090917,,,,
Stage 2: Severity,Classification,Random Forest,Macro F1,0.7171355498721228,,,,0.41213096800257626,0.42387602788933165,0.4167465504867703,1.0654731457800513,2.144284021344741,0.8781724935974351,-0.603272744656653
Stage 2: Severity,Classification,Gradient Boosting,Macro F1,0.7969309462915601,,,,0.48297918282122715,0.39887231516943267,0.401708203062695,0.7974424552429668,1.9149432557217645,0.6572592018811336,-0.2786586168031533
Stage 2: Severity,Classification,Gradient Boosting Tuned,Macro F1,0.7969309462915601,,,,0.48297918282122715,0.39887231516943267,0.401708203062695,,,,
Stage 2: Severity,Classification,XGBoost Tuned,Macro F1,0.7641943734015345,,,,0.4191443146474872,0.4008528746444489,0.3991293115486663,,,,
Stage 2: Severity,Classification,XGBoost,Macro F1,0.7948849104859335,,,,0.4439528049667076,0.37195196033333505,0.3720381926769439,0.7938618925831202,1.8954785344815452,0.6543080701215647,-0.2527965022214185
Stage 2: Severity,Classification,Dummy Baseline,Macro F1,0.8046035805626598,,,,0.2682011935208866,0.3333333333333333,0.2972411186696901,0.7539641943734016,1.853730599507348,0.6214240305149397,-0.19821852248341254
Stage 2: Severity,Classification,TabNet (Transformer),Macro F1,0.3370843989769821,,,,0.34598446053660514,0.36327661744513184,0.2618619038421723,,,,
Final Hurdle System,Two-Stage Hurdle,Final Two-Stage Hurdle Model,Macro F1,0.7411087866108786,,,,0.4094763912925801,0.4971551096580945,0.4265338273013236,0.520397489539749,1.3567975462794581,0.9119148294059123,-0.6936642800880084
Direct Regression Comparison,Regression Benchmark,Dummy Regressor,MAE / RMSE / R2,,,,,,,,0.4085774058577406,1.5054295040392291,0.62853385930309,-0.07951647542584617
Direct Regression Comparison,Regression Benchmark,XGBoost Regressor,MAE / RMSE / R2,,,,,,,,0.5600540041923523,1.4016227462561281,0.8615574120378606,0.06422662734985352
Direct Regression Comparison,Regression Benchmark,Gradient Boosting Regressor,MAE / RMSE / R2,,,,,,,,0.7476727155694354,1.8757609750170687,1.1501801388794923,-0.6759591183053486
Direct Regression Comparison,Regression Benchmark,TabNet (Transformer),MAE / RMSE / R2,,,,,,,,0.7889425754547119,1.7433826811658109,1.213667549094878,-0.4477510452270508
Direct Regression Comparison,Regression Benchmark,Random Forest Regressor,MAE / RMSE / R2,,,,,,,,0.8534301496022374,2.175955024340792,1.312871778724534,-1.2553204473734274
