WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE,YEAR,PWD_POPULATION,PWD_DENSITY,PWD_AREA_KM2,PWD_G,PWD_D10
1998-01-24,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535,0.7197,36.0185,1998,419683.0,39.2,10718.1,71.4,4938.3
1999-01-16,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535,0.7197,36.0185,1999,419683.0,39.2,10718.1,71.4,4938.3
1999-09-25,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535,0.7197,36.0185,1999,419683.0,39.2,10718.1,71.4,4938.3
2004-08-07,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,,Political violence,1535,0.7197,36.0185,2004,479975.8,44.800000000000004,10718.1,90.52,8113.42
2005-04-02,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535,0.7197,36.0185,2005,495049.0,46.2,10718.1,95.3,8907.2
2007-07-21,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535,0.7197,36.0185,2007,530745.4,49.52,10718.1,102.86,9909.0
2007-10-13,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,,Political violence,1535,0.7197,36.0185,2007,530745.4,49.52,10718.1,102.86,9909.0
2007-11-17,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,0,,Political violence,1535,0.7197,36.0185,2007,530745.4,49.52,10718.1,102.86,9909.0
2007-12-22,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,9,,Political violence,1535,0.7197,36.0185,2007,530745.4,49.52,10718.1,102.86,9909.0
2008-03-15,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,17,,Political violence,1535,0.7197,36.0185,2008,548593.6,51.18,10718.1,106.64,10409.900000000001
