COUNTY,predicted_total_fatalities,actual_total_fatalities,predicted_mean_fatalities,actual_mean_fatalities,severe_weeks_actual,rows,risk_rank
Nairobi,532.465,289,0.6155665,0.33410404624277457,0,865,1
Mandera,361.28287,256,1.5373739,1.0893617021276596,1,235,2
Turkana,341.7865,263,1.2800993,0.9850187265917603,2,267,3
Samburu,339.19852,154,1.5631268,0.7096774193548387,0,217,4
Baringo,246.37785,126,0.9403735,0.48091603053435117,0,262,5
Isiolo,222.78754,142,1.0710939,0.6826923076923077,0,208,6
Garissa,208.91823,272,0.839029,1.0923694779116466,1,249,7
Lamu,183.1983,298,1.0468475,1.7028571428571428,3,175,8
Machakos,171.24777,81,0.60086936,0.28421052631578947,0,285,9
Marsabit,152.95663,114,1.1004075,0.8201438848920863,0,139,10
Meru,144.85129,147,0.44161978,0.4481707317073171,0,328,11
Elgeyo Marakwet,115.027695,109,0.78250134,0.7414965986394558,0,147,12
Nakuru,103.74324,108,0.27157918,0.28272251308900526,0,382,13
Kiambu,99.91855,80,0.27225763,0.21798365122615804,0,367,14
Narok,89.163124,72,0.41279224,0.3333333333333333,0,216,15
West Pokot,85.1483,74,0.5493439,0.4774193548387097,0,155,16
Kisumu,75.11657,82,0.32101098,0.3504273504273504,0,234,17
Laikipia,74.914856,43,0.35337195,0.2028301886792453,0,212,18
Wajir,69.23569,49,0.9231425,0.6533333333333333,0,75,19
Kitui,66.54749,56,0.44964522,0.3783783783783784,0,148,20
Bungoma,62.24325,43,0.31919616,0.2205128205128205,0,195,21
Uasin Gishu,62.210297,36,0.2716607,0.1572052401746725,0,229,22
Kakamega,59.829117,94,0.22077166,0.34686346863468637,0,271,23
Kisii,56.713264,54,0.21981886,0.20930232558139536,0,258,24
Migori,53.009483,62,0.26637933,0.31155778894472363,0,199,25
Kirinyaga,52.731598,53,0.27900317,0.2804232804232804,0,189,26
Homa Bay,51.28238,56,0.27423733,0.2994652406417112,0,187,27
Tana River,51.224407,53,0.60981435,0.6309523809523809,0,84,28
Kilifi,50.282665,37,0.20864177,0.15352697095435686,0,241,29
Trans Nzoia,48.48591,42,0.262086,0.22702702702702704,0,185,30
Siaya,46.65081,71,0.24553058,0.3736842105263158,0,190,31
Mombasa,43.608482,44,0.15973803,0.16117216117216118,0,273,32
Kajiado,41.975307,49,0.18171129,0.21212121212121213,0,231,33
Nyamira,41.202587,36,0.35519472,0.3103448275862069,0,116,34
Embu,40.587418,45,0.24303843,0.2694610778443114,0,167,35
Muranga,29.632534,39,0.18995214,0.25,0,156,36
Busia,27.884306,42,0.17760704,0.267515923566879,0,157,37
Nyeri,24.780712,57,0.15987556,0.36774193548387096,1,155,38
Kwale,24.344402,26,0.24103369,0.25742574257425743,0,101,39
Kericho,21.94991,30,0.15791301,0.2158273381294964,0,139,40
Makueni,20.091936,36,0.17172594,0.3076923076923077,0,117,41
Tharaka-Nithi,19.642612,16,0.22321151,0.18181818181818182,0,88,42
Nandi,19.326992,14,0.14211023,0.10294117647058823,0,136,43
Vihiga,17.574905,27,0.20435937,0.313953488372093,0,86,44
Bomet,14.755244,9,0.15211593,0.09278350515463918,0,97,45
Nyandarua,9.0809965,19,0.122716166,0.25675675675675674,0,74,46
Taita Taveta,5.3119364,1,0.07276625,0.0136986301369863,0,73,47
